9100 15 200 6 247 2 210 8 163 1 93 44 255 7 244 28 190 5 117 16 234 9 105 3 29 12 135 35 96 18 203 45 238
9101 15 200 5 111 3 237 46 230 1 71 12 235 2 62 6 93 14 199 17 252 28 31 45 3 23 77 47 62 15 97 34 12
9102 15 200 7 253 18 139 1 212 17 224 34 41 8 245 23 16 15 157 37 127 4 158 5 23 2 177 25 148 19 160 43 53
9103 15 200 12 28 5 233 37 19 1 14 8 96 2 35 21 185 4 44 3 119 41 56 15 147 19 172 20 110 49 55 6 219
9104 15 200 4 243 36 51 1 20 27 65 12 4 25 94 7 156 30 178 2 200 31 62 6 85 48 184 5 99 17 121 23 34
9105 15 200 1 143 13 65 12 82 2 142 5 164 16 91 14 176 23 194 4 239 11 23 20 138 9 111 10 79 8 30 30 175
9106 15 200 5 5 33 149 1 80 10 215 3 21 6 39 4 75 18 221 37 247 2 174 13 196 25 244 15 85 11 155 7 81
9107 15 200 7 3 41 72 22 17 6 99 11 180 28 188 1 37 3 127 38 41 5 230 4 176 15 46 13 118 23 244 18 99
9108 15 200 1 164 2 38 47 38 21 106 3 35 8 111 12 109 5 176 7 216 4 189 11 132 14 7 49 107 28 243 17 4
9109 15 200 17 137 1 245 2 59 4 69 6 141 37 131 5 50 24 93 14 14 10 192 41 85 33 112 7 226 13 172 32 179
9110 15 200 41 146 33 49 11 84 3 219 9 218 5 157 42 123 6 101 28 238 2 160 1 227 14 101 21 127 8 56 17 183
9111 15 200 20 12 1 90 10 92 3 67 13 190 37 182 5 16 7 126 4 117 8 70 19 47 15 166 11 185 41 94 26 12
9112 15 200 3 186 6 26 26 132 10 8 21 152 19 103 11 207 4 57 1 241 2 173 12 64 29 65 40 196 45 82 41 71
9113 15 200 45 241 35 189 3 182 6 163 24 249 2 110 9 230 22 200 37 128 1 220 4 15 40 231 41 209 21 53 29 240
9114 15 200 1 131 27 18 2 156 3 117 10 122 23 243 4 40 22 206 6 119 36 54 46 26 7 253 12 38 17 186 13 95
9115 15 200 8 246 7 137 3 53 21 241 18 108 24 60 19 170 2 47 34 86 1 204 47 112 15 53 14 245 42 68 10 172
9116 15 200 1 52 3 176 24 49 10 224 37 69 2 21 6 177 9 70 34 89 17 34 30 210 11 95 29 10 4 165 13 224
