9000 4 100 18 114 42 136 88 192 3 223
9001 4 100 55 29 81 64 14 104 52 222
9002 4 100 89 196 18 62 57 34 69 112
9003 4 100 34 169 23 152 62 44 2 224
9004 4 100 67 145 74 111 87 139 65 243
9005 4 100 12 66 52 167 16 150 3 180
9006 4 100 85 190 13 165 4 47 83 198
9007 4 100 31 96 38 77 50 1 22 202
9008 4 100 88 235 26 224 76 220 80 194
9009 4 100 27 163 42 22 87 179 69 61
9010 4 100 6 36 33 253 5 1 67 44
9011 4 100 65 241 58 150 53 26 20 218
9012 4 100 51 87 5 198 19 40 81 47
9013 4 100 11 166 24 165 50 74 21 100
9014 4 100 65 38 20 243 13 107 39 122
9015 4 100 73 107 33 213 32 17 82 116
9016 4 100 7 193 30 95 82 57 13 164
9017 4 100 33 165 54 141 83 132 75 54
9018 4 100 88 218 27 157 36 97 29 229
9019 4 100 43 103 63 227 75 87 88 152
9020 4 100 87 229 39 57 74 34 58 139
9021 4 100 7 196 15 251 6 29 68 20
9022 4 100 45 194 71 75 25 92 74 150
9023 4 100 64 155 20 62 52 56 2 170
9024 4 100 89 156 64 182 22 211 31 109
9025 4 100 88 208 73 3 1 87 24 132
9026 4 100 1 246 36 18 47 248 65 176
9027 4 100 61 47 73 112 2 62 26 72
9028 4 100 60 116 88 234 14 89 3 83
9029 4 100 32 161 16 126 83 157 35 85
9030 4 100 75 98 71 171 45 16 25 125
9031 4 100 22 138 59 107 71 149 75 171
9032 4 100 2 208 73 3 3 81 51 212
9033 4 100 24 33 74 14 16 61 23 6
9034 4 100 70 253 62 72 47 87 75 223
9035 4 100 4 236 68 237 74 121 22 112
9036 4 100 10 216 1 77 4 219 38 72
9037 4 100 9 23 87 208 58 48 31 76
9038 4 100 75 161 1 90 87 148 60 1
9039 4 100 85 74 75 147 79 27 45 159
9040 4 100 21 29 17 190 86 88 52 95
9041 4 100 21 88 55 42 12 161 22 152
9042 4 100 47 145 16 216 58 129 1 76
9043 4 100 70 3 7 23 17 226 59 149
9044 4 100 9 55 58 193 29 223 32 227
9045 4 100 87 240 26 208 33 111 72 29
9046 4 100 6 48 4 32 77 137 28 42
9047 4 100 7 81 22 144 79 204 43 105
9048 4 100 10 51 14 11 86 82 22 192
9049 4 100 86 215 76 163 4 53 14 246
