9200 22 250 13 32 47 53 4 57 6 236 14 68 2 133 16 73 35 131 21 121 1 74 17 196 28 71 3 152 5 234 7 91 10 155 32 63 33 34 40 164 11 244 15 247 19 217
9201 22 250 1 213 11 129 6 130 15 29 48 91 14 67 17 70 26 159 4 238 30 31 24 127 2 15 29 175 10 106 18 58 20 62 7 116 25 9 3 114 22 210 13 105 41 179
9202 22 250 49 115 1 127 8 110 2 126 4 37 13 127 5 173 7 135 43 135 28 135 12 210 3 124 23 52 33 169 6 223 14 172 35 5 31 58 20 163 9 112 24 110 21 128
9203 22 250 1 22 29 159 21 72 27 120 26 146 18 174 32 167 23 13 3 177 14 185 5 214 4 210 20 4 9 234 2 8 41 27 44 74 12 125 6 36 11 47 8 191 16 187
9204 22 250 6 254 9 72 15 12 8 253 23 232 1 143 4 119 5 175 18 101 2 144 34 249 26 133 13 15 3 158 20 39 10 168 7 250 11 126 33 125 43 158 14 89 45 46
9205 22 250 4 124 1 188 37 149 5 255 33 135 20 214 18 78 7 17 41 148 22 182 3 110 14 68 38 138 44 108 30 194 17 42 13 39 2 198 6 248 45 241 24 140 8 167
9206 22 250 14 27 4 139 2 168 1 122 7 216 47 78 26 117 3 187 11 175 9 47 36 98 8 213 12 210 16 7 5 83 35 195 32 177 18 8 6 16 25 126 34 128 13 34
9207 22 250 7 24 1 200 13 39 17 51 38 155 5 227 4 159 2 149 6 208 21 199 3 247 22 210 9 19 37 92 23 196 10 11 47 72 32 191 11 210 12 107 27 14 15 46
9208 22 250 4 243 2 64 25 113 6 219 29 193 5 48 26 137 1 141 28 6 3 2 10 114 22 168 30 203 37 145 20 118 33 15 8 118 7 79 9 242 38 193 21 2 32 145
9209 22 250 25 143 1 146 13 124 22 211 18 119 5 205 2 79 4 21 3 52 33 137 14 114 42 74 28 245 41 9 31 31 6 178 20 174 10 4 36 77 11 48 23 39 8 192
9210 22 250 11 74 2 169 14 131 6 44 47 117 4 161 7 190 23 89 30 199 16 108 25 59 3 156 5 144 37 167 1 84 13 67 12 232 28 235 21 118 8 208 33 12 40 31
