9350 30 400 22 61 28 24 1 31 6 73 38 92 5 168 11 65 20 4 46 54 3 165 32 17 14 251 42 146 35 45 33 147 21 108 4 211 15 78 8 216 40 59 39 235 2 152 17 187 9 9 44 3 16 40 12 72 43 67 7 175 25 126
9351 30 400 14 17 22 155 2 128 42 204 26 171 5 255 1 30 17 184 12 12 4 132 20 243 15 45 6 222 3 121 23 69 24 212 40 167 31 28 10 37 39 237 7 150 16 76 18 60 8 107 9 14 25 93 29 43 49 156 32 247 19 11
9352 30 400 41 130 37 136 2 202 1 120 15 115 6 7 7 15 3 151 5 235 33 236 16 102 11 213 4 168 35 27 9 230 14 16 39 204 38 195 13 9 21 104 19 215 45 135 8 165 42 61 22 49 20 236 17 105 26 130 31 64 48 65
9353 30 400 34 81 13 65 1 208 3 2 15 79 4 253 20 189 5 142 2 42 19 28 8 222 16 208 11 97 49 93 22 158 42 218 28 154 10 178 12 235 6 100 7 235 14 185 45 245 17 7 38 72 9 66 23 203 48 246 33 168 27 222
9354 30 400 20 230 36 145 11 93 35 25 12 206 4 178 1 8 29 187 14 108 5 190 15 72 2 173 3 235 18 255 21 75 9 236 7 224 41 148 16 222 8 33 28 248 22 115 23 44 6 122 45 56 24 42 32 94 26 124 30 125 17 22
9355 30 400 2 26 1 50 7 186 41 248 31 244 5 98 34 195 3 175 24 99 38 138 13 103 27 33 4 177 10 29 35 117 15 81 12 202 20 65 9 97 17 245 22 238 6 255 36 232 18 236 37 78 23 249 30 226 29 195 8 78 42 210
9356 30 400 10 61 1 148 4 154 2 74 25 201 14 156 45 78 3 129 9 178 7 85 8 83 23 105 6 190 29 254 19 65 24 238 20 198 17 120 31 150 41 234 34 87 37 134 35 143 5 115 15 162 27 185 13 153 18 237 43 8 40 115
9357 30 400 3 192 11 213 18 88 15 108 12 156 32 201 13 174 21 162 4 107 1 148 2 28 7 84 5 206 14 73 34 156 26 28 44 230 30 148 25 209 36 49 9 132 33 235 43 132 27 119 17 158 6 134 10 4 41 203 19 202 48 144
9358 30 400 6 188 2 41 1 29 23 11 9 9 5 29 12 230 48 172 18 178 17 94 13 60 4 227 36 255 3 213 11 217 16 109 45 229 21 96 19 174 8 194 14 248 10 209 30 151 43 102 7 127 24 29 32 79 22 104 29 183 33 167
9359 30 400 3 201 18 37 46 12 1 212 15 80 4 193 34 129 11 253 5 41 2 130 47 207 17 120 8 20 13 4 14 185 24 205 28 128 37 68 6 226 12 147 10 1 39 191 32 131 16 165 9 23 19 193 7 169 21 216 48 247 25 146
9360 30 400 2 131 4 148 19 241 46 71 42 224 3 32 9 126 1 50 10 166 12 32 8 24 14 178 31 126 30 109 29 133 11 13 28 0 26 59 40 134 38 201 6 198 7 188 13 52 5 158 20 65 22 180 34 90 27 206 21 156 48 50
9361 30 400 1 74 5 193 12 141 16 75 47 251 33 100 4 252 30 163 32 169 2 82 6 150 9 220 20 141 11 55 40 59 3 198 17 153 18 201 7 89 8 226 29 225 34 172 19 34 10 190 14 210 21 166 42 50 44 63 23 209 49 107
9362 30 400 21 208 43 162 1 107 6 66 39 84 5 92 7 190 25 30 16 71 14 73 10 94 30 56 35 215 22 137 4 77 2 188 33 241 3 179 28 151 23 16 19 51 18 8 13 153 9 96 42 28 31 146 15 70 46 36 11 203 41 18
9363 30 400 18 89 13 173 10 137 8 208 34 29 4 134 19 95 6 160 2 68 5 229 1 218 17 193 25 239 16 24 21 49 3 62 44 7 7 81 32 72 45 178 28 74 14 98 29 64 23 105 38 202 9 81 15 197 37 94 39 121 48 89
9364 30 400 1 112 9 127 6 252 15 248 26 3 28 95 4 5 2 31 22 124 25 53 7 16 23 23 3 185 8 111 19 36 11 23 21 111 13 6 35 10 36 97 40 55 17 180 30 18 5 221 32 158 39 95 27 170 34 153 24 251 48 200
9365 30 400 9 93 28 174 4 76 2 52 1 83 32 231 11 163 7 169 5 46 8 58 35 207 3 35 10 252 6 59 46 140 43 115 34 235 17 169 23 162 22 154 13 55 31 187 49 56 21 48 14 171 16 159 15 36 20 170 18 227 25 25
9366 30 400 6 226 1 208 16 36 3 219 4 128 27 134 10 131 14 113 19 182 2 41 18 52 49 74 24 219 25 209 47 189 8 67 5 111 38 112 9 13 29 180 20 26 12 65 7 247 11 217 28 36 43 99 17 185 42 144 40 87 39 116
9367 30 400 3 96 11 251 15 161 45 148 10 106 34 32 28 229 7 254 2 12 4 166 1 174 6 50 5 204 13 85 18 106 24 158 8 119 23 17 9 104 20 54 29 211 32 3 38 179 16 149 21 83 31 147 35 133 25 169 26 18 40 132
9368 30 400 9 190 3 157 26 192 1 186 17 8 2 107 10 245 15 34 45 47 4 180 13 178 5 55 25 35 7 75 38 82 33 220 11 32 22 18 27 173 6 217 23 82 12 165 20 120 37 127 36 111 31 147 18 25 16 100 32 154 24 53
9369 30 400 4 113 36 245 13 140 2 153 1 188 19 182 35 203 3 209 25 98 43 230 5 203 9 254 18 86 45 225 27 255 12 208 11 10 14 141 10 75 22 232 40 174 6 172 20 211 17 39 34 82 7 167 23 175 16 217 21 184 31 92
9370 30 400 20 191 41 71 8 153 5 161 3 133 11 77 1 238 2 77 22 24 7 249 9 195 6 228 42 173 4 143 35 116 25 75 17 199 32 117 12 221 36 199 13 66 28 171 34 123 21 212 10 40 46 131 18 220 37 175 15 129 19 163
9371 30 400 21 95 5 227 13 36 2 118 15 149 18 250 1 110 4 231 8 222 30 143 7 118 3 58 48 206 31 136 6 193 16 59 9 28 10 66 14 27 32 192 40 90 34 233 37 143 38 63 28 200 11 94 17 189 44 129 20 244 25 198
