9050 10 100 27 38 2 86 41 112 1 0 25 66 1 97 34 195 3 85 50 42 12 223
9051 10 100 2 51 12 44 3 108 40 9 1 86 24 213 9 36 17 218 66 47 5 186
9052 10 100 66 66 18 4 8 79 23 169 59 116 60 34 1 4 6 72 12 238 2 174
9053 10 100 48 211 2 82 4 97 33 217 1 47 61 204 3 206 29 32 5 96 39 131
9054 10 100 2 125 1 239 35 223 4 145 7 249 19 78 12 174 3 125 34 221 11 93
9055 10 100 1 225 52 160 10 206 3 136 15 190 2 64 6 158 14 5 5 199 36 168
9056 10 100 5 225 2 248 8 189 7 221 68 228 6 31 1 91 12 140 21 112 22 118
9057 10 100 66 17 1 197 6 227 26 13 63 159 3 91 7 115 30 206 2 66 10 238
9058 10 100 12 214 48 239 1 110 44 30 53 253 3 244 8 215 10 102 6 96 46 111
9059 10 100 1 156 65 245 2 167 10 204 3 155 9 177 4 38 7 80 62 253 15 245
9060 10 100 13 198 1 177 3 32 54 101 5 228 26 186 20 123 37 210 28 249 23 249
9061 10 100 13 146 22 174 11 111 4 204 3 107 5 47 10 29 2 34 6 124 30 222
9062 10 100 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 100 99
9063 10 100 45 74 12 162 23 237 1 7 13 117 19 204 20 183 2 113 43 22 39 94
9064 10 100 1 173 9 165 39 255 17 59 48 0 20 92 4 236 6 66 14 206 10 229
9065 10 100 34 73 3 240 42 2 27 227 36 113 64 253 2 202 30 65 1 69 4 246
9066 10 100 3 184 18 222 16 5 23 193 25 65 11 129 19 86 15 55 4 27 5 128
9067 10 100 2 164 45 248 1 147 5 1 69 235 65 74 12 252 41 153 3 255 17 128
9068 10 100 9 49 41 255 2 52 3 178 1 247 13 12 47 12 6 79 52 46 44 1
9069 10 100 4 229 2 86 1 47 53 68 3 179 35 161 18 62 23 245 49 251 64 178
9070 10 100 62 174 31 28 3 180 11 223 1 136 2 222 43 240 9 59 15 152 5 74
9071 10 100 22 64 7 230 11 213 2 18 8 80 33 219 16 168 27 11 24 118 19 250
9072 10 100 12 215 1 1 10 12 2 238 18 132 64 235 48 78 3 197 5 195 7 136
9073 10 100 1 47 28 150 63 156 17 157 18 196 25 184 2 55 16 22 12 224 22 76
9074 10 100 52 123 1 41 22 214 2 60 46 95 41 44 30 76 3 204 11 142 17 19
9075 10 100 3 187 2 117 1 68 12 246 28 19 41 148 4 176 44 172 13 198 6 76
9076 10 100 26 192 11 62 2 97 4 75 10 188 8 137 14 88 50 228 58 152 53 142
9077 10 100 5 118 41 231 37 23 1 112 10 115 18 110 19 180 3 13 6 167 68 208
9078 10 100 1 223 2 137 9 18 4 209 10 247 7 167 17 41 31 217 25 95 5 73
9079 10 100 47 246 3 49 41 199 1 221 2 125 12 163 15 199 4 107 11 0 21 203
9080 10 100 20 196 1 173 21 120 42 129 43 224 52 199 9 213 7 150 40 202 11 81
9081 10 100 2 232 5 54 34 161 49 190 21 224 1 248 38 50 62 222 29 0 10 15
9082 10 100 1 192 11 48 25 26 38 152 24 59 50 158 28 183 3 187 16 94 36 248
9083 10 100 3 241 46 242 1 198 2 115 27 136 7 226 8 67 11 146 4 106 28 211
9084 10 100 2 197 20 6 54 67 14 130 5 151 1 244 22 117 30 178 11 148 9 31
9085 10 100 12 168 2 167 3 0 4 167 1 155 38 28 69 160 13 53 9 40 3 205
9086 10 100 3 27 12 38 1 62 38 216 19 205 59 77 50 103 57 60 2 200 65 12
9087 10 100 24 111 59 44 27 226 31 234 1 97 47 209 3 200 5 191 17 33 61 147
9088 10 100 1 161 16 167 8 147 4 219 2 27 19 117 15 253 5 104 20 230 3 153
9089 10 100 10 38 49 117 32 177 16 135 5 135 31 33 18 34 59 163 3 122 2 53
9090 10 100 12 204 1 117 2 254 6 36 3 4 7 215 25 188 4 67 5 58 57 160
9091 10 100 1 118 3 39 48 48 21 238 2 133 9 238 14 81 6 23 4 51 35 122
9092 10 100 1 139 10 251 2 83 4 82 26 170 65 112 18 250 17 64 3 251 12 146
9093 10 100 14 17 2 122 8 120 9 242 1 113 4 117 51 168 7 204 3 149 15 133
9094 10 100 49 95 1 90 27 245 11 252 5 68 2 204 46 57 17 238 40 225 4 218
9095 10 100 10 152 8 134 13 146 3 217 5 28 20 6 50 166 14 117 27 100 1 73
9096 10 100 1 226 6 56 23 230 17 194 2 87 19 54 16 136 22 208 20 103 11 50
9097 10 100 1 182 33 207 5 58 2 0 6 122 4 41 25 205 19 92 2 52 49 176
9098 10 100 30 59 1 202 13 42 4 204 27 67 33 111 62 209 8 173 2 95 35 92
9099 10 100 5 104 56 239 2 205 12 19 7 116 1 237 3 130 34 6 27 82 6 193
